source_label,movimiento_literario,lopez_bueno_2006,pedraza,modularity2,provenance_status
AgustinSalazar_Sonetos,Baroque,Continuity and Dispersion,,0,validated_local_processing_provenance_pending
BartolomeArgensola_Sonetos,Baroque,Transition,Baroque,0,validated_local_processing_provenance_pending
FranciscodeMedrano_Sonetos,Baroque,Transition,Baroque,0,validated_local_processing_provenance_pending
JosephdeLitalayCastelvi_Sonetos,Baroque,Continuity and Dispersion,,0,validated_local_processing_provenance_pending
LopedeZarate_Sonetos,Baroque,Culmination,Baroque,0,validated_local_processing_provenance_pending
LuisdeUlloayPereira_Sonetos,Baroque,Continuity and Dispersion,Baroque,0,validated_local_processing_provenance_pending
Quevedo_Sonetos,Baroque,Baroque,Baroque,0,validated_local_processing_provenance_pending
SorJuanaInesdelaCruz_Sonetos,Baroque,Continuity and Dispersion,Baroque,0,validated_local_processing_provenance_pending
FranciscodeFigueroa_Sonetos,Renaissance,Renovation,Renaissance,2,validated_local_processing_provenance_pending
FranciscoDelaTorre_Sonetos,Renaissance,Renovation,Renaissance,1,validated_local_processing_provenance_pending
GutierredeCetina_Sonetos,Renaissance,Innovation,Renaissance,2,validated_local_processing_provenance_pending
Herrera_Sonetos,Renaissance,Renovation,Renaissance,1,validated_local_processing_provenance_pending
JuandeArguijo_Sonetos,Baroque,Transition,Baroque,1,validated_local_processing_provenance_pending
JuandeJauregui_Sonetos,Baroque,Transition,Baroque,1,validated_local_processing_provenance_pending
Pacheco_Sonetos,Baroque,Culmination,Baroque,1,validated_local_processing_provenance_pending
PedroSotodeRojas_Sonetos,Baroque,Continuity and Dispersion,Baroque,1,validated_local_processing_provenance_pending
BernardinodeRebolledo_Sonetos,Baroque,Continuity and Dispersion,Baroque,0,validated_local_processing_provenance_pending
Cervantes_Sonetos,Baroque,Transition,Baroque,1,validated_local_processing_provenance_pending
FranciscodeBorja_Sonetos,Baroque,Continuity and Dispersion,Baroque,0,validated_local_processing_provenance_pending
Gongora_Sonetos,Baroque,Culmination,Baroque,0,validated_local_processing_provenance_pending
LopedeVega_Sonetos,Baroque,Culmination,Baroque,0,validated_local_processing_provenance_pending
LupercioArgensola_Sonetos,Baroque,Transition,Baroque,0,validated_local_processing_provenance_pending
PedrodeEspinosa_Sonetos,Baroque,Transition,Baroque,1,validated_local_processing_provenance_pending
TirsodeMolina_Sonetos,Baroque,,Baroque,0,validated_local_processing_provenance_pending
JuandeTassisyPeralta_Sonetos,Baroque,Transition,Baroque,0,validated_local_processing_provenance_pending
BocangelyUnzueta_Sonetos,Baroque,Continuity and Dispersion,Baroque,0,validated_local_processing_provenance_pending
PedrodePadilla_Sonetos,Baroque,Transition,Renaissance,2,validated_local_processing_provenance_pending
PolodeMedina_Sonetos,Baroque,Continuity and Dispersion,Baroque,0,validated_local_processing_provenance_pending
DiegoXimenezAyllon_Sonetos,Renaissance,Renovation,Renaissance,1,validated_local_processing_provenance_pending
FernandodeAcunya_Sonetos,Renaissance,Innovation,Renaissance,2,validated_local_processing_provenance_pending
FranciscodeAldana_Sonetos,Renaissance,Renovation,Renaissance,1,validated_local_processing_provenance_pending
DiegoHurtadodeMendoza_Sonetos,Renaissance,Innovation,Renaissance,2,validated_local_processing_provenance_pending
Garcilaso_Sonetos,Renaissance,Innovation,Renaissance,2,validated_local_processing_provenance_pending
JuanBoscan_Sonetos,Renaissance,Innovation,Renaissance,2,validated_local_processing_provenance_pending
JuandeAlmeida_Sonetos,Renaissance,Innovation,,2,validated_local_processing_provenance_pending
JuandeTimoneda_Sonetos,Renaissance,Renovation,Renaissance,2,validated_local_processing_provenance_pending
LuisCarrilloySotomayor_Sonetos,Baroque,Transition,Baroque,1,validated_local_processing_provenance_pending
TrilloyFigueroa_Sonetos,Baroque,Continuity and Dispersion,Baroque,0,validated_local_processing_provenance_pending
LuisMartindelaPlaza_Sonetos,Baroque,Transition,Baroque,1,validated_local_processing_provenance_pending
MiradeAmescua_Sonetos,Baroque,Transition,Baroque,0,validated_local_processing_provenance_pending
