source_label,navarro_author_dir,movimiento_literario,lopez_bueno_2006,pedraza,modularity2,provenance_status
Garcilaso_Sonetos,GarcilasoDeLaVega,Renaissance,Innovation,Renaissance,2,validated_local_processing_provenance_pending
JuanBoscan_Sonetos,JuanBoscan,Renaissance,Innovation,Renaissance,2,validated_local_processing_provenance_pending
Herrera_Sonetos,FernandoDeHerrera,Renaissance,Renovation,Renaissance,1,validated_local_processing_provenance_pending
JuandeArguijo_Sonetos,JuanDeArguijo,Baroque,Transition,Baroque,1,validated_local_processing_provenance_pending
JuandeJauregui_Sonetos,JuanDeJauregui,Baroque,Transition,Baroque,1,validated_local_processing_provenance_pending
Cervantes_Sonetos,Cervantes,Baroque,Transition,Baroque,1,validated_local_processing_provenance_pending
Gongora_Sonetos,Gongora,Baroque,Culmination,Baroque,0,validated_local_processing_provenance_pending
LopedeVega_Sonetos,LopeDeVega,Baroque,Culmination,Baroque,0,validated_local_processing_provenance_pending
Quevedo_Sonetos,Quevedo,Baroque,Baroque,Baroque,0,validated_local_processing_provenance_pending
PedrodeEspinosa_Sonetos,PedroEspinosa,Baroque,Transition,Baroque,1,validated_local_processing_provenance_pending
LuisCarrilloySotomayor_Sonetos,LuisCarrilloySotomayor,Baroque,Transition,Baroque,1,validated_local_processing_provenance_pending
