transition_center,mode,rewiring_median,rewiring_q10,rewiring_q90,lexical_turnover_median,persistent_concepts_median,weighting
1577.0,author_balanced,0.023267,0.023267,0.023267,0.060773,340.0,author_balanced
1582.0,author_balanced,0.043259,0.020948,0.056137,0.122396,336.0,author_balanced
1587.0,author_balanced,0.089247,0.064091,0.101522,0.221445,334.0,author_balanced
1592.0,author_balanced,0.233746,0.233746,0.233746,0.405797,287.0,author_balanced
1597.0,author_balanced,0.083532,0.083532,0.083532,0.246696,342.0,author_balanced
1602.0,author_balanced,0.11062,0.087396,0.137588,0.190019,422.0,author_balanced
1607.0,author_balanced,0.096712,0.083154,0.10892,0.128788,460.0,author_balanced
1612.0,author_balanced,0.121211,0.121211,0.121211,0.187856,428.0,author_balanced
1577.0,raw,0.025339,0.025339,0.025339,0.060773,340.0,raw
1582.0,raw,0.033427,0.018811,0.047686,0.122396,336.0,raw
1587.0,raw,0.07913,0.06055,0.092649,0.221445,334.0,raw
1592.0,raw,0.22487,0.22487,0.22487,0.405797,287.0,raw
1597.0,raw,0.085958,0.085958,0.085958,0.246696,342.0,raw
1602.0,raw,0.103189,0.081787,0.125731,0.190019,422.0,raw
1607.0,raw,0.07731,0.063353,0.087636,0.128788,460.0,raw
1612.0,raw,0.124483,0.124483,0.124483,0.187856,428.0,raw
